StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q16,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13,Q14,Q15
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please choose ""I consent"" if you consent to the above, and are happy to continue with the questionnaire",What previous experience did you have with Battle for Wesnoth by the time you started the scenario?,Did the ritual go critical in your run?,Did you...,"Did you attack the Yaltha too, after turning on the mages?",How important did you feel it was for you to: - Find the ritual,How important did you feel it was for you to: - Destroy the ritual (before it went critical),How important did you feel it was for you to: - Destroy the Yalthans,How important did you feel it was for you to: - Kill the mages (before the ritual went critical),How important did you feel it was for you to: - Kill the mages (after the ritual went critical),How much did you want ___ to occur? - Find the ritual,How much did you want ___ to occur? - Destroy the ritual (before it went critical),How much did you want ___ to occur? - Destroy the Yalthans,How much did you want ___ to occur? - Kill the mages (before the ritual went critical),How much did you want ___ to occur? - Kill the mages (after the ritual went critical),How much did you need ___ to occur? - Find the ritual,How much did you need ___ to occur? - Destroy the ritual (before it went critical),How much did you need ___ to occur? - Destroy the Yalthans,How much did you need ___ to occur? - Kill the mages (before the ritual went critical),How much did you need ___ to occur? - Kill the mages (after the ritual went critical),How invested were you in ___ occurring? - Find the ritual,How invested were you in ___ occurring? - Destroy the ritual (before it went critical),How invested were you in ___ occurring? - Destroy the Yalthans,How invested were you in ___ occurring? - Kill the mages (before the ritual went critical),How invested were you in ___ occurring? - Kill the mages (after the ritual went critical),How much power over the following outcomes did you feel you had? - Find the ritual,How much power over the following outcomes did you feel you had? - Destroy the ritual (before it went critical),How much power over the following outcomes did you feel you had? - Destroy the Yalthans,How much power over the following outcomes did you feel you had? - Kill the mages (before the ritual went critical),How much power over the following outcomes did you feel you had? - Kill the mages (after the ritual went critical),How much power do you think the enemy had to stop you achieving the following objectives? - Find the ritual,How much power do you think the enemy had to stop you achieving the following objectives? - Destroy the ritual (before it went critical),How much power do you think the enemy had to stop you achieving the following objectives? - Destroy the Yalthans,How much power do you think the enemy had to stop you achieving the following objectives? - Kill the mages (before the ritual went critical),How much power do you think the enemy had to stop you achieving the following objectives? - Kill the mages (after the ritual went critical),How much tension did you feel while trying to complete the following objectives? - Find the ritual,How much tension did you feel while trying to complete the following objectives? - Destroy the ritual (before it went critical),How much tension did you feel while trying to complete the following objectives? - Destroy the Yalthans,How much tension did you feel while trying to complete the following objectives? - Kill the mages (before the ritual went critical),How much tension did you feel while trying to complete the following objectives? - Kill the mages (after the ritual went critical),What makes an objective something that you personally want to see completed in a game? Not necessarily in just Battle for Wesnoth.,Given such an objective - one you personally want to see completed - how would you describe to another person how you feel about it?,"Is there anything I haven't covered or asked here that you'd like to raise about the scenario?
Is something broken? Got an opinion on tension or investment yourself? Anything goes, here!"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID24""}","{""ImportId"":""QID3""}","{""ImportId"":""QID12""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID6_x1""}","{""ImportId"":""QID6_x2""}","{""ImportId"":""QID6_x3""}","{""ImportId"":""QID6_x4""}","{""ImportId"":""QID6_x5""}","{""ImportId"":""QID14_xx1""}","{""ImportId"":""QID14_xx2""}","{""ImportId"":""QID14_xx3""}","{""ImportId"":""QID14_xx4""}","{""ImportId"":""QID14_xx5""}","{""ImportId"":""QID7_xxx1""}","{""ImportId"":""QID7_xxx2""}","{""ImportId"":""QID7_xxx3""}","{""ImportId"":""QID7_xxx4""}","{""ImportId"":""QID7_xxx5""}","{""ImportId"":""QID8_xxxx1""}","{""ImportId"":""QID8_xxxx2""}","{""ImportId"":""QID8_xxxx3""}","{""ImportId"":""QID8_xxxx4""}","{""ImportId"":""QID8_xxxx5""}","{""ImportId"":""QID9_xxxxx1""}","{""ImportId"":""QID9_xxxxx2""}","{""ImportId"":""QID9_xxxxx3""}","{""ImportId"":""QID9_xxxxx4""}","{""ImportId"":""QID9_xxxxx5""}","{""ImportId"":""QID10_xxxxxx1""}","{""ImportId"":""QID10_xxxxxx2""}","{""ImportId"":""QID10_xxxxxx3""}","{""ImportId"":""QID10_xxxxxx4""}","{""ImportId"":""QID10_xxxxxx5""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID18_TEXT""}"
StartDate,EndDate,Status,IPAddress,Progress,DurationSeconds,Finished,RecordedDate,ParticipantID,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Experience,RitualCritical,AttackMages,AttackYaltha,"Objective(FindRitual), Importance","Objective(DestroyRitual), Importance","Objective(DestroyYalthans), Importance","Objective(KillMagesBeforeCritical), Importance","Objective(KillMagesAfterCritical), Importance","Objective(FindRitual), Want","Objective(DestroyRitual), Want","Objective(DestroyYalthans), Want","Objective(KillMagesBeforeCritical), Want","Objective(KillMagesAfterCritical), Want","Objective(FindRitual), Need","Objective(DestroyRitual), Need","Objective(DestroyYalthans), Need","Objective(KillMagesBeforeCritical), Need","Objective(KillMagesAfterCritical), Need","Objective(FindRitual), Investment","Objective(DestroyRitual), Investment","Objective(DestroyYalthans), Investment","Objective(KillMagesBeforeCritical), Investment","Objective(KillMagesAfterCritical), Investment","Objective(FindRitual), OwnPower","Objective(DestroyRitual), OwnPower","Objective(DestroyYalthans), OwnPower","Objective(KillMagesBeforeCritical), OwnPower","Objective(KillMagesAfterCritical), OwnPower","Objective(FindRitual), EnemyPower","Objective(DestroyRitual), EnemyPower","Objective(DestroyYalthans), EnemyPower","Objective(KillMagesBeforeCritical), EnemyPower","Objective(KillMagesAfterCritical), EnemyPower","Objective(FindRitual), Tension","Objective(DestroyRitual), Tension","Objective(DestroyYalthans), Tension","Objective(KillMagesBeforeCritical), Tension","Objective(KillMagesAfterCritical), Tension",What_Completed,Want_Complete_Feeling,Coverall
2022-03-03 05:52:32,2022-03-03 05:52:41,IP Address,86.1.188.147,13,8,False,2022-03-10 05:52:49,R_2CUhri45piu5A3o,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-26 02:46:10,2022-04-26 02:55:07,IP Address,42.105.88.196,100,536,True,2022-04-26 02:55:08,R_3PQOSsl7GnTBnEq,,,,,23.0803,70.1341,anonymous,EN,,Extremely familiar with the game,No,Not ever attack the mages,,Moderately important,Very important,Extremely important,,,A lot,A lot,A great deal,,,A lot,A moderate amount,6,,,Very Invested,Very Invested,Incredibly invested,,,A moderate amount,A lot,A great deal,,,None at all,A little,None at all,,,A moderate amount,A great deal,A little,,,To see my enemies cry while I annihilate them. (I know they are ai) ,I just love annihilating somebody and making them despair over their loss. ,No
2022-04-26 04:14:59,2022-04-26 04:15:06,Survey Preview,,100,7,True,2022-04-26 04:15:06,R_3hF6RGK645vmvx9,,,,,51.233,-0.6013,preview,EN,I do not consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-28 08:49:28,2022-04-28 08:59:46,IP Address,81.108.41.86,100,617,True,2022-04-28 08:59:46,R_28GREyPzBIBAYtM,,,,,51.2608,-0.5543,anonymous,EN,I consent,I've played through the first tutorial,Yes,Not ever attack the mages,,Slightly important,Moderately important,Moderately important,,,A moderate amount,A little,A moderate amount,,,A lot,A moderate amount,A lot,,,A little invested,Moderately invested,Moderately invested,,,None at all,A moderate amount,A lot,,,A moderate amount,A moderate amount,A lot,,,A little,A little,A little,,,Longer buildup as the game progresses. In the case of this game maybe spread over several scenarios so that you're more invested in the characters,"Tough but satisfying once complete, difficult decisions",
2022-04-29 14:07:14,2022-04-29 14:12:48,IP Address,95.111.27.52,100,333,True,2022-04-29 14:12:48,R_2CcPwIJV5hxRHaY,,,,,42.6951,23.325,anonymous,EN,I consent,I've played through the first tutorial,Yes,Attack the mages BEFORE the ritual went critical,,Very important,Very important,Very important,Not at all important,,A lot,A lot,A lot,A little,,A great deal,A great deal,6,A littl,,Very Invested,Very Invested,Incredibly invested,A little invested,,A moderate amount,A moderate amount,A little,A little,,A lot,A lot,A lot,A lot,,A lot,A lot,A lot,A little,,,,
2022-04-25 07:24:18,2022-04-25 07:24:33,IP Address,81.106.152.63,13,14,False,2022-05-02 07:24:40,R_3fr7HwIS3w891kS,,,,,,,anonymous,EN,,I've played it before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-26 04:05:53,2022-04-26 04:11:53,IP Address,31.53.199.213,7,360,False,2022-05-03 04:18:13,R_3hlGxG7AV1bE2aT,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-26 06:52:36,2022-04-26 06:52:49,IP Address,92.26.14.131,38,13,False,2022-05-03 06:52:51,R_2YtCjcVMrPVJAE0,,,,,,,anonymous,EN,I consent,I've played through the first tutorial,No,Attack the mages BEFORE the ritual went critical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
